X,Y,Z,Distance
-0.612,0.172,0.509,0.634
-0.610,0.170,0.507,0.640
-0.602,0.173,0.499,0.633
-0.603,0.173,0.498,0.631
-0.600,0.175,0.493,0.640
-0.583,0.176,0.490,0.616
-0.507,0.203,0.417,0.577
-0.572,0.007,0.768,0.586
-0.574,0.008,0.770,0.586
-0.575,0.007,0.773,0.584
-0.576,0.006,0.781,0.583
-0.581,-0.000,0.786,0.586
-0.579,-0.003,0.790,0.581
-0.578,-0.004,0.796,0.581
-0.582,-0.007,0.798,0.585
-0.585,-0.012,0.803,0.588
-0.582,-0.013,0.808,0.583
-0.585,-0.014,0.810,0.586
-0.585,-0.017,0.813,0.587
-0.584,-0.018,0.814,0.582
-0.588,-0.020,0.817,0.585
-0.586,-0.020,0.820,0.584
-0.588,-0.022,0.820,0.580
-0.590,-0.022,0.822,0.583
-0.591,-0.023,0.824,0.585
-0.590,-0.025,0.824,0.582
-0.592,-0.027,0.828,0.582
-0.592,-0.029,0.828,0.586
-0.590,-0.029,0.831,0.581
-0.587,-0.031,0.832,0.579
-0.592,-0.036,0.838,0.584
-0.590,-0.040,0.839,0.587
-0.589,-0.040,0.839,0.581
-0.587,-0.043,0.840,0.583
-0.585,-0.045,0.838,0.581
-0.585,-0.043,0.837,0.587
-0.579,-0.043,0.835,0.584
-0.575,-0.048,0.830,0.582
-0.572,-0.045,0.826,0.586
-0.566,-0.045,0.823,0.594
-0.560,-0.048,0.817,0.593
-0.552,-0.051,0.813,0.599
-0.544,-0.052,0.805,0.607
-0.533,-0.052,0.797,0.604
-0.527,-0.053,0.790,0.619
-0.513,-0.055,0.783,0.620
-0.502,-0.054,0.772,0.622
-0.494,-0.050,0.760,0.629
-0.487,-0.047,0.752,0.633
-0.477,-0.040,0.740,0.638
-0.468,-0.035,0.727,0.641
-0.459,-0.026,0.714,0.646
-0.448,-0.022,0.704,0.653
-0.433,-0.016,0.691,0.646
-0.425,-0.006,0.679,0.651
-0.417,-0.001,0.667,0.655
-0.411,0.008,0.656,0.657
-0.404,0.013,0.647,0.660
-0.399,0.017,0.638,0.663
-0.393,0.020,0.631,0.663
-0.359,0.012,0.636,0.686
-0.362,0.010,0.632,0.687
-0.357,0.015,0.623,0.686
-0.357,0.014,0.618,0.690
-0.356,0.019,0.613,0.687
-0.357,0.022,0.605,0.690
