X,Y,Z,Distance
-0.688,-0.677,0.491,0.611
-0.692,-0.677,0.493,0.608
-0.695,-0.678,0.496,0.606
-0.697,-0.677,0.496,0.608
-0.701,-0.676,0.498,0.605
-0.702,-0.679,0.500,0.610
-0.704,-0.682,0.500,0.607
-0.709,-0.683,0.504,0.608
-0.713,-0.684,0.507,0.608
-0.715,-0.685,0.508,0.609
-0.722,-0.691,0.514,0.609
-0.729,-0.694,0.520,0.612
-0.732,-0.694,0.522,0.621
-0.736,-0.701,0.527,0.619
-0.740,-0.703,0.531,0.620
-0.743,-0.704,0.531,0.623
-0.745,-0.705,0.531,0.623
-0.746,-0.706,0.534,0.624
-0.748,-0.703,0.530,0.622
-0.748,-0.704,0.529,0.623
-0.757,-0.708,0.524,0.625
-0.758,-0.711,0.523,0.626
-0.759,-0.712,0.525,0.626
-0.759,-0.716,0.524,0.624
-0.760,-0.711,0.524,0.630
-0.763,-0.721,0.527,0.628
-0.765,-0.723,0.528,0.625
-0.767,-0.719,0.525,0.628
-0.767,-0.716,0.524,0.628
-0.768,-0.714,0.517,0.619
-0.767,-0.716,0.519,0.620
-0.769,-0.718,0.518,0.620
-0.767,-0.717,0.515,0.623
-0.763,-0.714,0.515,0.620
-0.763,-0.714,0.513,0.617
-0.762,-0.714,0.511,0.618
-0.758,-0.713,0.505,0.617
-0.757,-0.711,0.504,0.620
-0.749,-0.707,0.499,0.614
-0.748,-0.710,0.496,0.612
-0.744,-0.702,0.489,0.610
-0.742,-0.702,0.486,0.604
-0.741,-0.700,0.483,0.608
-0.716,-0.695,0.450,0.568
-0.712,-0.692,0.436,0.566
-0.711,-0.691,0.434,0.567
-0.711,-0.686,0.435,0.571
-0.715,-0.694,0.434,0.572
-0.709,-0.694,0.430,0.567
-0.715,-0.694,0.431,0.575
-0.722,-0.699,0.440,0.572
-0.726,-0.702,0.440,0.574
-0.727,-0.707,0.445,0.570
-0.733,-0.705,0.447,0.576
-0.729,-0.703,0.445,0.574
-0.731,-0.707,0.444,0.575
-0.732,-0.709,0.444,0.572
-0.728,-0.699,0.443,0.576
-0.731,-0.701,0.442,0.576
-0.730,-0.704,0.442,0.575
-0.729,-0.706,0.442,0.573
-0.732,-0.703,0.443,0.574
-0.730,-0.703,0.443,0.574
-0.729,-0.704,0.440,0.573
-0.726,-0.704,0.439,0.568
-1.394,3.903,-1.526,2.632
-0.718,-0.693,0.432,0.565
-0.720,-0.697,0.432,0.566
-0.719,-0.699,0.429,0.557
-0.717,-0.700,0.425,0.557
-0.728,-0.700,0.429,0.559
-0.727,-0.705,0.429,0.562
-0.728,-0.706,0.427,0.559
-0.724,-0.708,0.426,0.552
-0.718,-0.699,0.417,0.558
-0.719,-0.701,0.416,0.556
-1.420,3.916,-1.543,2.608
-0.722,-0.706,0.414,0.556
-0.721,-0.704,0.413,0.554
-0.721,-0.704,0.413,0.554
-0.722,-0.704,0.415,0.554
-0.717,-0.711,0.419,0.559
-0.715,-0.714,0.420,0.557
-0.718,-0.713,0.418,0.556
-0.716,-0.714,0.419,0.561
-0.716,-0.718,0.419,0.560
-0.715,-0.713,0.418,0.558
-0.717,-0.710,0.416,0.560
-0.717,-0.706,0.416,0.561
-0.717,-0.708,0.416,0.560
-0.719,-0.704,0.414,0.558
-0.720,-0.704,0.414,0.559
-0.719,-0.707,0.414,0.558
-0.719,-0.708,0.413,0.559
-0.717,-0.705,0.415,0.563
-0.718,-0.706,0.415,0.562
-0.638,-0.672,0.346,0.507
-0.637,-0.670,0.347,0.508
